name,rep,s,Ua,distance,fstOutliers
c0/run13.s0.006.Ua1.0.d200.csv,13,0.006,1.0,200,13
c0/run9.s0.0002.Ua10.0.d200.csv,9,0.0002,10.0,200,6
c0/run11.s0.0006.Ua1.0.d200.csv,11,0.0006,1.0,200,5
c0/run8.s0.006.Ua1.0.d300.csv,8,0.006,1.0,300,27
c0/run4.s0.0006.Ua0.1.d200.csv,4,0.0006,0.1,200,0
c0/run17.s0.0006.Ua10.0.d300.csv,17,0.0006,10.0,300,47
c0/run25.s0.02.Ua1.0.d200.csv,25,0.02,1.0,200,14
c0/run5.s0.002.Ua10.0.d100.csv,5,0.002,10.0,100,20
c0/run18.s0.0006.Ua0.1.d100.csv,18,0.0006,0.1,100,0
c0/run18.s0.006.Ua1.0.d300.csv,18,0.006,1.0,300,15
c0/run27.s0.002.Ua10.0.d300.csv,27,0.002,10.0,300,113
c0/run17.s0.002.Ua1.0.d400.csv,17,0.002,1.0,400,12
c0/run7.s0.006.Ua0.1.d300.csv,7,0.006,0.1,300,1
c0/run8.s0.0002.Ua10.0.d200.csv,8,0.0002,10.0,200,2
c0/run10.s0.0006.Ua1.0.d200.csv,10,0.0006,1.0,200,4
c0/run22.s0.002.Ua1.0.d200.csv,22,0.002,1.0,200,10
c0/run17.s0.0006.Ua10.0.d200.csv,17,0.0006,10.0,200,16
c0/run18.s0.002.Ua10.0.d200.csv,18,0.002,10.0,200,65
c0/run28.s0.0006.Ua10.0.d200.csv,28,0.0006,10.0,200,24
c0/run14.s0.0006.Ua0.1.d300.csv,14,0.0006,0.1,300,0
c0/run9.s0.0002.Ua1.0.d300.csv,9,0.0002,1.0,300,0
c0/run1.s0.02.Ua1.0.d400.csv,1,0.02,1.0,400,29
c0/run1.s0.02.Ua0.1.d100.csv,1,0.02,0.1,100,1
c0/run12.s0.0002.Ua10.0.d100.csv,12,0.0002,10.0,100,0
c0/run8.s0.006.Ua0.1.d400.csv,8,0.006,0.1,400,1
c0/run7.s0.002.Ua1.0.d100.csv,7,0.002,1.0,100,1
c0/run19.s0.006.Ua1.0.d100.csv,19,0.006,1.0,100,7
c0/run8.s0.006.Ua0.1.d300.csv,8,0.006,0.1,300,4
c0/run22.s0.002.Ua10.0.d400.csv,22,0.002,10.0,400,131
c0/run10.s0.0006.Ua0.1.d400.csv,10,0.0006,0.1,400,1
c0/run24.s0.002.Ua1.0.d400.csv,24,0.002,1.0,400,16
c0/run30.s0.002.Ua1.0.d200.csv,30,0.002,1.0,200,6
c0/run3.s0.006.Ua1.0.d400.csv,3,0.006,1.0,400,21
